price,Close,High,Low,Volume,Date
4150,4100,4200,4100,,04/14/23
4100,4100,4100,4100,,04/13/23
4200,4170,4203,4170,,04/12/23
4329,4280,4344,4300,,04/11/23
4218,4327,4349,4214,,04/10/23
4226,4220,4231,4178,,04/07/23
4232,4191,4245,4189,,04/06/23
4190,4205,4206,4190,,04/05/23
4215,4242,4237,4207,,04/04/23
4122,4169,4175,4105,,04/03/23
4125,4058,4132,4010,,03/31/23
4015,4112,4112,4010,,03/30/23
3990,4030,4034,3958,,03/29/23
3896,4011,4013,3880,,03/28/23
3783,3884,3889,3762,,03/27/23
3760,3751,3869,3695,,03/24/23
3842,3750,3847,3737,,03/23/23
3949,3835,3962,3803,,03/22/23
3964,3937,4006,3915,,03/21/23
4035,3935,4035,3918,,03/20/23
4083,4071,4154,4044,,03/17/23
4110,4139,4130,4110,,03/13/23
4185,4170,4185,4127,,03/10/23
4194,4166,4194,4160,,03/09/23
4218,4175,4227,4173,,03/08/23
4246,4199,4282,4190,,03/07/23
4246,4250,4260,4246,,03/06/23
4301,4318,4325,4270,,03/03/23
4210,4270,4300,4210,,03/02/23
4123,4146,4174,4120,,03/01/23
4145,4113,4156,4111,,02/28/23
4138,4184,4191,4109,,02/27/23
4183,4156,4210,4145,,02/24/23
4140,4190,4191,4120,,02/23/23
4106,4099,4175,4092,,02/22/23
4150,4097,4150,4080,,02/21/23
4110,4121,4150,4099,,02/20/23
4055,4095,4122,4055,,02/17/23
3918,3884,3920,3900,,02/14/23
3886,3850,3910,3810,,02/13/23
3807,3806,3900,3783,,02/10/23
3860,3832,3861,3806,,02/09/23
3822,3820,3900,3815,,02/08/23
3817,3818,3850,3805,,02/07/23
3650,3725,3725,3640,,02/03/23
3680,3652,3698,3620,,02/02/23
3859,3720,3860,3700,,01/31/23
3950,3850,3955,3840,,01/30/23
3783,3874,3880,3783,,01/27/23
3760,3778,3809,3729,,01/26/23
3806,3754,3812,3720,,01/25/23
3876,3885,3932,3858,,01/20/23
3864,3887,3907,3850,,01/19/23
3816,3859,3884,3805,,01/18/23
3847,3790,3860,3781,,01/17/23
3888,3846,3890,3841,,01/16/23
3800,3823,3810,3800,,01/12/23
3815,3823,3815,3800,,01/11/23
3868,3887,3910,3815,,01/10/23
3955,4020,4000,3895,,01/09/23
4081,3981,4098,3934,,01/06/23
4168,4080,4168,4070,,01/05/23
4223,4210,4240,4161,,01/04/23
4150,4265,4265,4150,,01/03/23
